Title	DOI
Title Page	10.1109/ICSE55347.2025.00047
Title Page	10.1109/ICSE55347.2025.00207
Copyright Page	10.1109/ICSE55347.2025.00248
Table of Contents	10.1109/ICSE55347.2025.00249
Message from the ICSE 2025 General Chairs	10.1109/ICSE55347.2025.00250
Message from the ICSE 2025 Program Chairs	10.1109/ICSE55347.2025.00251
Organizing Committee	10.1109/ICSE55347.2025.00252
Program Committee	10.1109/ICSE55347.2025.00253
Additional Reviewers	10.1109/ICSE55347.2025.00254
Research Track Committee	10.1109/ICSE55347.2025.00255
Artifact Evaluation Committee	10.1109/ICSE55347.2025.00256
Thanos: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing	10.1109/ICSE55347.2025.00257
SpecGen: Automated Generation of Formal Program Specifications via Large Language Models	10.1109/ICSE55347.2025.00129
Gpass: A Goal-Adaptive Neural Theorem Prover Based on Coq for Automated Formal Verification	10.1109/ICSE55347.2025.00116
Formally Verified Binary-Level Pointer Analysis	10.1109/ICSE55347.2025.00231
EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution Framework	10.1109/ICSE55347.2025.00225
An Empirical Study on Package-Level Deprecation in Python Ecosystem	10.1109/ICSE55347.2025.00046
Datalog-Based Language-Agnostic Change Impact Analysis for Microservices	10.1109/ICSE55347.2025.00115
GenC2Rust: Towards Generating Generic Rust Code from C	10.1109/ICSE55347.2025.00127
Instrumentation-Driven Evolution-Aware Runtime Verification	10.1109/ICSE55347.2025.00099
Moye: A Wallbreaker for Monolithic Firmware	10.1109/ICSE55347.2025.00053
Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem	10.1109/ICSE55347.2025.00054
Critical Variable State-Aware Directed Greybox Fuzzing	10.1109/ICSE55347.2025.00219
LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes	10.1109/ICSE55347.2025.00233
No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses	10.1109/ICSE55347.2025.00239
Parametric Falsification of Many Probabilistic Requirements Under Flakiness	10.1109/ICSE55347.2025.00237
RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems	10.1109/ICSE55347.2025.00244
Automated Generation of Accessibility Test Reports from Recorded User Transcripts	10.1109/ICSE55347.2025.00043
Fuzzing MLIR Compilers with Custom Mutation Synthesis	10.1109/ICSE55347.2025.00037
Insvdf: Interface-State-Aware Virtual Device Fuzzing	10.1109/ICSE55347.2025.00190
Reduce Dependence for Sound Concurrency Bug Prediction	10.1109/ICSE55347.2025.00149
Sand: Decoupling Sanitization from Fuzzing for Low Overhead	10.1109/ICSE55347.2025.00187
TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability Code	10.1109/ICSE55347.2025.00061
A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection	10.1109/ICSE55347.2025.00050
Can an LLM Find Its Way Around a Spreadsheet?	10.1109/ICSE55347.2025.00101
QEDCartographer: Automating Formal Verification Using Reward-Free Reinforcement Learning	10.1109/ICSE55347.2025.00033
TIGER: A Generating-Then-Ranking Framework for Practical Python Type Inference	10.1109/ICSE55347.2025.00019
ROCODE: Integrating Backtracking Mechanism and Program Analysis in Large Language Models for Code Generation	10.1109/ICSE55347.2025.00133
Rango: Adaptive Retrieval-Augmented Proving for Automated Software Verification	10.1109/ICSE55347.2025.00161
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs	10.1109/ICSE55347.2025.00163
Automating a Complete Software Test Process Using LLMs: An Automotive Case Study	10.1109/ICSE55347.2025.00211
LLM-Agents Driven Automated Simulation Testing and Analysis of small Uncrewed Aerial Systems	10.1109/ICSE55347.2025.00223
Efficient Domain Augmentation for Autonomous Driving Testing Using Diffusion Models	10.1109/ICSE55347.2025.00206
GARL: Genetic Algorithm-Augmented Reinforcement Learning to Detect Violations in Marker-Based Autonomous Landing Systems	10.1109/ICSE55347.2025.00076
Decictor: Towards Evaluating the Robustness of Decision-Making in Autonomous Driving Systems	10.1109/ICSE55347.2025.00114
Does GenAI Make Usability Testing Obsolete?	10.1109/ICSE55347.2025.00138
Feature-Driven End-to-End Test Generation	10.1109/ICSE55347.2025.00141
SeeAction: Towards Reverse Engineering How-What-Where of HCI Actions from Screencasts for UI Automation	10.1109/ICSE55347.2025.00144
