bet,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
22/03/2026 17:39:15,Sand: Decoupling Sanitization from Fuzzing for Low Overhead,Emma,10.1109/ICSE55347.2025.00187,,2025,ICSE,"ETH Zurich, Nanyang Technological University, City University of Hong Kong The Chinese University of Hong Kong,  ",Testing and Security,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,No,No,No,No,No,https://github.com/wtdcode/sand-aflpp,,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,,Yes,Yes,Yes,,Yes,README.md and all you could ever want,Yes,Yes,Yes,Yes,,No,"Docstrings, Inline comments",Docker,Yes,Yes,,,12:23:00
22/03/2026 17:51:29,TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability Code,Emma,10.1109/ICSE55347.2025.00061,,2025,ICSE,"Chinese Academy of Sciences, The University of New South Wales,  Taiyuan University of Technology",Testing and Security,,Yes,No,,No,No,No,No,No,Yes,https://github.com/Siyuan-Li201/TransferFuzz,,Yes,Yes,Not necessary,Yes,Git (clone),No,Yes,Yes,Infeasable,,Yes,No: no datasets used,Yes,,Yes,"README, changelog, tips, install guide",Yes,No,Yes,Yes,,No,Docstrings,,Yes,Yes,,,08:00:00
02/03/2026 19:12:43,Enhancing the Open Network: Definition and Automated Detection of Smart Contract Defects,Freddie,10.1109/ICSE55347.2025.00119,https://anonymous.4open.science/r/TON_support_material-ECD4/,2025,ICSE,"Sichuan University, University of Electronic Science and Technology of China, Sun Yat-Sen University, BitsLab, TonBit",The Open Network,,Yes,No,,No,No,No,No,No,No,https://anonymous.4open.science/r/TON_support_material-ECD4/,Anonymous GitHub but no Zenodo,Yes,Yes,Not necessary,Software is currently available,Download,No,No,No,Infeasable,,Yes,Yes,No but no clear constraints not to,"I1: Hard to say since source code is unavailable but seems to input a repo and output whatever
I2: LOTS of other objects: repos, samples, etc. I have no reason to say that these are not qualified
Could see this being integrated elsewhere",No,README only + some rebuttal,No,No,Yes,No,,No,,,No,No,"R2: lib64 is included in the repo
R3: can't say since only the executable is available",,10:15:00
02/03/2026 19:20:15,ZTDJAVA: Mitigating Software Supply Chain Vulnerabilities via Zero-Trust Dependencies,Freddie,10.1109/ICSE55347.2025.00148,,2025,ICSE,"Purdue University, Mount Holyoke College, Google",Security and Analysis,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,Not a serious complaint but why did they use markdown in their title,04:43:00
03/03/2026 18:39:58,FairChecker: Detecting Fund-Stealing Bugs in DeFi Protocols via Fairness Validation,Freddie,10.1109/ICSE55347.2025.00134,,2025,ICSE,Purdue University,Security and Analysis (Blockchain),,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:19:00
03/03/2026 18:52:55,An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,Freddie,10.1109/ICSE55347.2025.00100,https://github.com/fraolBatole/LocalizeAgent,2025,ICSE,"Tulane University, Iowa State University, The University of Texas at Dallas, University of Nebraska-Lincoln",Agentic AI/LLMs,Artefact Available,Yes,No,,No,No,No,No,No,Yes,https://github.com/fraolBatole/LocalizeAgent,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,Yes,"I2: there is a datasets folder but there is just a Java file here. Was there meant to be a dataset here? If it's not here and there is supposed to be one then I can't really give this
I believe this can be integrated with other LLMs / AI agents",No,README only,No,Yes,Yes,Yes,"pyproject.toml, uv.lock (uv package manager for Python)",Yes,Docstrings,,Yes,No,Needs API keys for LLM of your choice,Had some technical issues with GitHub so took longer to complete than anticipated,12:17:00
04/03/2026 11:02:32,Distilled Lifelong Self-Adaptation for Configurable Systems,Freddie,10.1109/ICSE55347.2025.00094,https://github.com/ideas-labo/dlisa,2025,ICSE,University of Birmingham,Self-adaptive Systems,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,No,No,No,No,Yes,https://github.com/ideas-labo/dlisa,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,I2: dataset included in source code,Yes,"Detailed README, paper itself, artifact archive",Yes,Yes,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,Yes,"R3: code is readable and comments are added where necessary
Guides to run the various RQs are given",While it's good that the artefact zip was included in the repo it would've been better to have this in a separate zenodo,08:38:00
04/03/2026 11:09:19,COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge,Freddie,10.1109/ICSE55347.2025.00234,,2025,ICSE,"The Chinese University of Hong Kong,Sun Yat-sen University",Distributed systems,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:53:00
05/03/2026 17:44:40,Enhancing Code Generation via Bidirectional Comment-Level Mutual Grounding,Freddie,10.1109/ICSE55347.2025.00165,,2025,ICSE,Purdue University,AI for analysis,,Yes,No,,No,No,No,No,No,Yes,https://github.com/NecoraNyaru/PInG,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No but no clear constraints not to,"I2: they have a data processing util file but no mention of where or what dataset is being used, maybe it's up to the user? Not sure if I should give this",Yes,README only but is quite detailed,Yes,No,Yes,Yes,,Yes,"Docstrings, Inline comments",,Yes,Yes,"R1.2. provenance is not detailed nor significant enough
Needs a DeepSeek API key (presumably, though not explicitly said)",,08:34:00
05/03/2026 17:56:47,HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation,Freddie,10.1109/ICSE55347.2025.00228,https://github.com/DeepSoftwareAnalytics/HumanEvo,2025,ICSE,"Sun Yat-sen University, Huawei, Chongqing University, Zhuhai Key Laboratory",Code generation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/DeepSoftwareAnalytics/HumanEvo,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No but no clear constraints not to,"I2: it builds a dataset manually from pull requests, unsure whether this is invalid or not, gone with no",Yes,README only but is detailed,No,No,Yes,Yes,environment.yml (for a conda venv),Yes,"Docstrings, Inline comments",,Yes,Yes,Unclear which model but presumably some kind of LLM API key needed,,11:43:00
