Paper Name:,Field,First Pass,Second Pass,Matches,FAIR Letter
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"A1.1. The protocol is open, free, and universally implementable.",,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"A1.2. The protocol allows for an authentication and authorization procedure, where necessary.",,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"A2. Metadata are accessible, even when the software is no longer available.",,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F1. Software is assigned a globally unique and persistent identifier (DOI),,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F1.2. Different versions of the software are assigned distinct identifiers.,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",,Artefact Unavailable,False,I
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",,Artefact Unavailable,False,I
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,R1.1. Software is given a clear and accessible license.,,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,R1.2. Software is associated with detailed provenance (version history).,,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",,Artefact Unavailable,False,R
A Catalog of Micro Frontends Anti-Patterns,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),Yes,,False,A
A Catalog of Micro Frontends Anti-Patterns,"A1.1. The protocol is open, free, and universally implementable.",Yes,,False,A
A Catalog of Micro Frontends Anti-Patterns,"A1.2. The protocol allows for an authentication and authorization procedure, where necessary.",Not necessary,,False,A
A Catalog of Micro Frontends Anti-Patterns,"A2. Metadata are accessible, even when the software is no longer available.",Yes,,False,A
A Catalog of Micro Frontends Anti-Patterns,F1. Software is assigned a globally unique and persistent identifier (DOI),Yes,,False,F
A Catalog of Micro Frontends Anti-Patterns,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,No,,False,F
A Catalog of Micro Frontends Anti-Patterns,F1.2. Different versions of the software are assigned distinct identifiers.,Yes,,False,F
A Catalog of Micro Frontends Anti-Patterns,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,Yes,,False,F
A Catalog of Micro Frontends Anti-Patterns,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,Yes,,False,F
A Catalog of Micro Frontends Anti-Patterns,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Yes,,False,F
A Catalog of Micro Frontends Anti-Patterns,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",No,,False,I
A Catalog of Micro Frontends Anti-Patterns,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,,False,I
A Catalog of Micro Frontends Anti-Patterns,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",Yes,,False,R
A Catalog of Micro Frontends Anti-Patterns,R1.1. Software is given a clear and accessible license.,No,,False,R
A Catalog of Micro Frontends Anti-Patterns,R1.2. Software is associated with detailed provenance (version history).,No,,False,R
A Catalog of Micro Frontends Anti-Patterns,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No: program does not use external libraries,,False,R
A Catalog of Micro Frontends Anti-Patterns,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Yes,,False,R
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,No,False,A
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
A First Look at Conventional Commits Classification,"A2. Metadata are accessible, even when the software is no longer available.",Yes,Software is currently available,False,A
A First Look at Conventional Commits Classification,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,No: no datasets used,False,I
A First Look at Conventional Commits Classification,R1.1. Software is given a clear and accessible license.,Yes,No,False,R
A Large-Scale Study of Model Integration in ML-Enabled Software Systems,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,Yes,False,A
A Large-Scale Study of Model Integration in ML-Enabled Software Systems,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No: program does not use external libraries,Yes,False,R
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,Yes,No,False,F
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",Yes,Artefact Unavailable,False,I
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,No: no datasets used,False,I
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",Yes,Artefact Unavailable,False,R
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,R1.1. Software is given a clear and accessible license.,Yes,Artefact Unavailable,False,R
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,R1.2. Software is associated with detailed provenance (version history).,Yes,Artefact Unavailable,False,R
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",Yes,Artefact Unavailable,False,R
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Yes,Artefact Unavailable,False,R
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,Yes,No,False,F
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Yes,No,False,R
A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,No,False,A
A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,R1.1. Software is given a clear and accessible license.,No,Yes,False,R
A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,"A2. Metadata are accessible, even when the software is no longer available.",Yes,Software is currently available,False,A
A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,No,Yes,False,F
A Tale of Two DL Cities: When Library Tests Meet Compiler,"A2. Metadata are accessible, even when the software is no longer available.",No,Software is currently available,False,A
A Tale of Two DL Cities: When Library Tests Meet Compiler,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,No,Yes,False,F
A Tale of Two DL Cities: When Library Tests Meet Compiler,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Yes,No,False,F
A Tale of Two DL Cities: When Library Tests Meet Compiler,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",Yes,No,False,I
A Tale of Two DL Cities: When Library Tests Meet Compiler,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,No: no datasets used,False,I
A Tale of Two DL Cities: When Library Tests Meet Compiler,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),No,Yes,False,A
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,"A1.1. The protocol is open, free, and universally implementable.",No,Yes,False,A
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,F1.2. Different versions of the software are assigned distinct identifiers.,No,Yes,False,F
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",No,Yes,False,I
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No,No: datasets used but not referenced appropriately,False,I
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No,Yes,False,R
Accessibility Issues in Ad-Driven Web Applications,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),Yes,,False,A
Accessibility Issues in Ad-Driven Web Applications,"A1.1. The protocol is open, free, and universally implementable.",Yes,,False,A
Accessibility Issues in Ad-Driven Web Applications,"A1.2. The protocol allows for an authentication and authorization procedure, where necessary.",Not necessary,,False,A
Accessibility Issues in Ad-Driven Web Applications,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,,False,A
Accessibility Issues in Ad-Driven Web Applications,F1. Software is assigned a globally unique and persistent identifier (DOI),Yes,,False,F
Accessibility Issues in Ad-Driven Web Applications,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,Yes,,False,F
Accessibility Issues in Ad-Driven Web Applications,F1.2. Different versions of the software are assigned distinct identifiers.,Yes,,False,F
Accessibility Issues in Ad-Driven Web Applications,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,Yes,,False,F
Accessibility Issues in Ad-Driven Web Applications,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,Yes,,False,F
Accessibility Issues in Ad-Driven Web Applications,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Yes,,False,F
Accessibility Issues in Ad-Driven Web Applications,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",No,,False,I
Accessibility Issues in Ad-Driven Web Applications,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,,False,I
Accessibility Issues in Ad-Driven Web Applications,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",No,,False,R
Accessibility Issues in Ad-Driven Web Applications,R1.1. Software is given a clear and accessible license.,Yes,,False,R
Accessibility Issues in Ad-Driven Web Applications,R1.2. Software is associated with detailed provenance (version history).,Yes,,False,R
Accessibility Issues in Ad-Driven Web Applications,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",Yes,,False,R
Accessibility Issues in Ad-Driven Web Applications,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Yes,,False,R
Accounting for Missing Events in Statistical Information Leakage Analysis,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,Yes,False,A
Accounting for Missing Events in Statistical Information Leakage Analysis,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,Yes,False,I
Accounting for Missing Events in Statistical Information Leakage Analysis,R1.2. Software is associated with detailed provenance (version history).,Yes,No,False,R
Accounting for Missing Events in Statistical Information Leakage Analysis,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No: program uses external libraries but are not referenced appropriately,Yes,False,R
Aligning the Objective of LLM-Based Program Repair,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),No,Yes,False,A
