Paper Name:,Field,First Pass,Second Pass,Matches,FAIR Letter
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,No,Yes,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Does the software metadata (i.e. README) describe how to retrieve the artefact?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Does the software require the use of any 3rd party tools in order to execute it?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Does the software require the use of any 3rd party tools in order to retrieve it?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Has the software artefact been mentioned or cited in the paper for ease of findability?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Has the software been deployed onto a web server (if feasible)?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,How long did this form take to complete?,00:03:00,02:30:00,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Institution (if applicable),Microsoft research,Microsoft,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Is the software source code available?,,No,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Is the software sufficiently modular?,,Artefact Unavailable,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Research Area:,Proof,LLM code generation,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,Year Published:,2025.0,2025,False,
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"A1.1. The protocol is open, free, and universally implementable.",,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"A1.2. The protocol allows for an authentication and authorization procedure, where necessary.",,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"A2. Metadata are accessible, even when the software is no longer available.",,Artefact Unavailable,False,A
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F1. Software is assigned a globally unique and persistent identifier (DOI),,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F1.2. Different versions of the software are assigned distinct identifiers.,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",,Artefact Unavailable,False,F
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",,Artefact Unavailable,False,I
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",,Artefact Unavailable,False,I
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,R1.1. Software is given a clear and accessible license.,,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,R1.2. Software is associated with detailed provenance (version history).,,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",,Artefact Unavailable,False,R
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",,Artefact Unavailable,False,R
A Catalog of Micro Frontends Anti-Patterns,(R1) Please list the software attributes in the repository.,README,,False,
