Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
A Catalog of Micro Frontends Anti-Patterns,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Accessibility Issues in Ad-Driven Web Applications,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Chatgpt-Based Test Generation for Refactoring Engines Enhanced by Feature Analysis on Examples,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Datalog-Based Language-Agnostic Change Impact Analysis for Microservices,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Decoding Secret Memorization in Code LLMs Through Token-Level Characterization,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Decoding the Issue Resolution Process in Practice via Issue Report Analysis: a Case Study of Firefox,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Does GenAI Make Usability Testing Obsolete?,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
EP-Detector: Automatic Detection of Error-Prone Operation Anomalies in Android Applications,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Early Detection of Performance Regressions by Bridging Local Performance Data and Architectural Models,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
