Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
Datalog-Based Language-Agnostic Change Impact Analysis for Microservices,41,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?
Accessibility Issues in Ad-Driven Web Applications,40,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?
Decoding the Issue Resolution Process in Practice via Issue Report Analysis: a Case Study of Firefox,40,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Anything else to note?
Does GenAI Make Usability Testing Obsolete?,39,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?
Early Detection of Performance Regressions by Bridging Local Performance Data and Architectural Models,39,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Increasing the Effectiveness of Automatically Generated Tests by Improving Class Observability,39,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?
Iterative Generation of Adversarial Example for Deep Code Models,39,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Efficient Domain Augmentation for Autonomous Driving Testing Using Diffusion Models,39,16,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Mobile Application Coverage: The 30% Curse and Ways Forward,38,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Who's Pushing the Code? An Exploration of GitHub Impersonation,38,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
