Timestamp,Paper Name:,Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Is the software sufficiently modular?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",How long did this form take to complete?,Anything else to note?,DOI (of paper),"If F1 is met, please input the DOI of the latest version",Please input any links to GitHub if available,Any additional notes for F?,Any additional notes for A?,Any additional notes for I?,Any additional notes for R?,"Link to artefact repository (Github, Zenodo, Figshare etc)",(R1) Please list the software attributes in the repository.,Reviewer Name
13/02/2026 19:05:46,Invivo Fuzzing by Amplifying Actual Executions,2025,ICSE,"Canonical, MPI-SP",Automated Testing,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,Yes,No,No,No,No,Yes,No,Yes,Not necessary,Software is currently available,Git (clone),No,Yes,Yes,Infeasable,Yes,No: no datasets used,No: infeasible,Yes,Yes,Yes,Yes,Yes,Yes,,No,Inline comments,Docker,Yes,00:10:00,,10.1109/ICSE55347.2025.00172,,https://github.com/OctavioGalland/afllive/tree/main,Only available on github,,,,https://github.com/OctavioGalland/afllive/tree/main/artifacts,"README, project paper",Emma
13/02/2026 19:43:35,Towards High-Strength Combinatorial Interaction Testing for Highly Configurable Software Systems,2025,ICSE,"Beihang University, Central South University, Changsha,  Chongqing University,  Harbin Institute of Technology",Testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No: program does not use external libraries,Yes,,No,Inline comments,,Yes,00:07:00,perfect,10.1109/ICSE55347.2025.00113,https://doi.org/10.5281/zenodo.14860398,https://github.com/chuanluocs/HSCA?tab=readme-ov-file,,,,,,readme install,Emma
13/02/2026 19:57:17,WDD: Weighted Delta Debugging,2025,ICSE,"University of Waterloo, The Hong Kong University of Science and Technology",Testing and QA,"Artefact Available, Artefact Functional",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,Download,No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MODULE.bazel (rust?),No,Inline comments,,Yes,00:10:00,,10.1109/ICSE55347.2025.00071,https://doi.org/10.5281/zenodo.14270380,,,,,,https://zenodo.org/records/14270380,"readme, paper contributions",Emma
13/02/2026 20:11:21,Topseed: Learning Seed Selection Strategies for Symbolic Execution from Scratch,2025,ICSE,Sungkyunkwan University,Testing and QA,"Artefact Available, Artefact Functional",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Docker image,No,Inline comments,Docker,Yes,00:07:00,,10.1109/ICSE55347.2025.00095,https://doi.org/10.5281/zenodo.14890193,https://github.com/skkusal/TopSeed,,,,,,readme paper and dockerfile,Emma
16/02/2026 19:25:25,The Seeds of the Future Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning Libraries,2025,ICSE,Chinese Academy of Sciences,AI for Testing and QA,,Yes,No,No,No,No,No,No,No,No,Yes,Not necessary,No,Git (clone),Yes,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Inline comments,,Yes,00:12:00,,10.1109/ICSE55347.2025.00132,,https://github.com/Redempt1onzzZZ/FUTURE?tab=readme-ov-file,"Just github
",,,,,"README, graph, known bugs",Emma
16/02/2026 19:39:23,Between Lines of Code: Unraveling the Distinct Patterns of Machine and Human Programmers,2025,ICSE,"Shanghai Jiao Tong University, East China Normal University, Chongqing University",Human and Social using AI,,Yes,No,No,No,No,No,No,No,No,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,No,Yes,No but no clear constraints not to,Yes,Yes,Yes,No,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,00:12:00,,10.1109/ICSE55347.2025.00005,,https://github.com/YerbaPage/DetectCodeGPT?tab=readme-ov-file#usage,,,,,,README,Emma
16/02/2026 19:45:23,Deep Learning-based Code Reviews: A Paradigm Shift or a Double-Edged Sword?,2025,ICSE,"Florida State University, Software Institute - USI Università della Svizzera italiana",Human and Social using AI,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:03:00,GitHub exists but is more of record of experiment than software does not really constitute ,10.1109/ICSE55347.2025.00060,,,,,,,,,Emma
16/02/2026 20:00:34,An Exploratory Study of ML Sketches and Visual Code Assistants,2025,ICSE,"Carnegie Mellon University, University of Porto",Human and Social using AI,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,Download,No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Inline comments,Docker,Yes,00:09:40,,10.1109/ICSE55347.2025.00124,https://doi.org/10.5281/zenodo.13184028,,,,,,,README,Emma
16/02/2026 20:11:25,Licoeval: Evaluating LLMs on License Compliance in Code Generation,2025,ICSE," Peking University, University of Science and Technology Beijing, Carnegie Mellon University",Human and Social using AI ,,Yes,No,No,No,No,No,No,Yes,No,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,requirements.txt (pip),Yes,,,Yes,00:09:39,,10.1109/ICSE55347.2025.00052,,https://github.com/osslab-pku/LiCoEval,,,,,https://github.com/osslab-pku/LiCoEval,,Emma
16/02/2026 20:16:17,"Trust Dynamics in AI-Assisted Development: Definitions, Factors, and Implications",2025,ICSE,"University of Southern California, Amazon AGI",Human and Social using AI ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:02:00,survey,10.1109/ICSE55347.2025.00199,,,,,,,,,Emma
